year,JDT,DOY,Time,litu1e,litu2e,litu3e,litu4e,litu5e,litu1w,litu2w,litu3w,litu4w,litu5w
2003,4750.54,2,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.56,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.58,2,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.6,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.63,2,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.65,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.67,2,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.69,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.71,2,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.73,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.75,2,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.77,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.79,2,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.81,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.83,2,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.85,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.88,2,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.9,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.92,2,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.94,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.96,2,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4750.98,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.02,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.04,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.06,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.08,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.13,3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.15,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.17,3,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.19,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.21,3,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.23,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.25,3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.27,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.29,3,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.31,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.33,3,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.35,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.38,3,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.4,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.42,3,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.44,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.46,3,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.48,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.5,3,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.52,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.54,3,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.56,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.58,3,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.6,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.63,3,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.65,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.67,3,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.69,3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.71,3,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.73,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.75,3,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.77,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.79,3,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.81,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.83,3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.85,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.88,3,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.9,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.92,3,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.94,3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.96,3,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4751.98,3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.02,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.04,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.06,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.08,4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.13,4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.15,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.17,4,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.19,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.21,4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.23,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.25,4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.27,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.29,4,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.31,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.33,4,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.35,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.38,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.42,4,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.44,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.46,4,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.48,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.5,4,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.52,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.54,4,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.56,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.58,4,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.6,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.63,4,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.65,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.67,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.69,4,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.71,4,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.73,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.75,4,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.77,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.79,4,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.81,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.83,4,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.85,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.88,4,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.9,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.92,4,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.94,4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.96,4,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4752.98,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.02,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.04,5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.06,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.08,5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.13,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.15,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.17,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.19,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.21,5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.23,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.25,5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.27,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.29,5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.31,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.33,5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.35,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.38,5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.4,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.42,5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.44,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.46,5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.48,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.5,5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.52,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.54,5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.56,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.58,5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.6,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.63,5,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.65,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.67,5,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.69,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.71,5,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.73,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.75,5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.77,5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.79,5,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.81,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.83,5,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.85,5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.88,5,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.9,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.92,5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.94,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.96,5,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4753.98,5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.02,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.04,6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.06,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.08,6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.13,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.15,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.17,6,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.19,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
