year,JDT,DOY,Time,PAR.HW
2003,4753.08,5,2.5,0
2003,4753.1,5,3,0
2003,4753.13,5,3.5,0
2003,4753.15,5,4,0
2003,4753.17,5,4.5,0
2003,4753.19,5,5,0
2003,4753.21,5,5.5,0
2003,4753.23,5,6,0
2003,4753.25,5,6.5,0
2003,4753.27,5,7,0
2003,4753.29,5,7.5,0
2003,4753.31,5,8,52.319141
2003,4753.33,5,8.5,219.48122
2003,4753.35,5,9,377.2345
2003,4753.38,5,9.5,536.39313
2003,4753.4,5,10,688.48138
2003,4753.42,5,10.5,780.97717
2003,4753.44,5,11,915.77399
2003,4753.46,5,11.5,913.94049
2003,4753.48,5,12,935.91992
2003,4753.5,5,12.5,973.77454
2003,4753.52,5,13,1022.07
2003,4753.54,5,13.5,1006.3265
2003,4753.56,5,14,936.46887
2003,4753.58,5,14.5,835.04736
2003,4753.6,5,15,658.72906
2003,4753.63,5,15.5,532.29803
2003,4753.65,5,16,388.31207
2003,4753.67,5,16.5,233.18266
2003,4753.69,5,17,78.063156
2003,4753.71,5,17.5,0
2003,4753.73,5,18,0
2003,4753.75,5,18.5,0
2003,4753.77,5,19,0
2003,4753.79,5,19.5,0
2003,4753.81,5,20,0
2003,4753.83,5,20.5,0
2003,4753.85,5,21,0
2003,4753.88,5,21.5,0
2003,4753.9,5,22,0
2003,4753.92,5,22.5,0
2003,4753.94,5,23,0
2003,4753.96,5,23.5,0
2003,4753.98,5,24,0
2003,4754,6,0.5,0
2003,4754.02,6,1,0
2003,4754.04,6,1.5,0
2003,4754.06,6,2,0
2003,4754.08,6,2.5,0
2003,4754.1,6,3,0
2003,4754.13,6,3.5,0
2003,4754.15,6,4,0
2003,4754.17,6,4.5,0
2003,4754.19,6,5,0
2003,4754.21,6,5.5,0
2003,4754.23,6,6,0
2003,4754.25,6,6.5,0
2003,4754.27,6,7,0
2003,4754.29,6,7.5,0
2003,4754.31,6,8,61.317974
2003,4754.33,6,8.5,10.110333
2003,4754.35,6,9,14.580871
2003,4754.38,6,9.5,40.347942
2003,4754.4,6,10,54.4062
2003,4754.42,6,10.5,57.419857
2003,4754.44,6,11,50.552666
2003,4754.46,6,11.5,75.855331
2003,4754.48,6,12,83.273666
2003,4754.5,6,12.5,52.337803
2003,4754.52,6,13,129.93874
2003,4754.54,6,13.5,96.938881
2003,4754.56,6,14,90.689789
2003,4754.58,6,14.5,99.862511
2003,4754.6,6,15,85.463913
2003,4754.63,6,15.5,82.846588
2003,4754.65,6,16,86.946037
2003,4754.67,6,16.5,60.235901
2003,4754.69,6,17,22.577774
2003,4754.71,6,17.5,0
2003,4754.73,6,18,0
2003,4754.75,6,18.5,0
2003,4754.77,6,19,0
2003,4754.79,6,19.5,0
2003,4754.81,6,20,0
2003,4754.83,6,20.5,0
2003,4754.85,6,21,0
2003,4754.88,6,21.5,0
2003,4754.9,6,22,0
2003,4754.92,6,22.5,0
2003,4754.94,6,23,0
2003,4754.96,6,23.5,0
2003,4754.98,6,24,0
2003,4755,7,0.5,0
2003,4755.02,7,1,0
2003,4755.04,7,1.5,0
2003,4755.06,7,2,0
2003,4755.08,7,2.5,0
2003,4755.1,7,3,0
2003,4755.13,7,3.5,0
2003,4755.15,7,4,0
2003,4755.17,7,4.5,0
2003,4755.19,7,5,0
2003,4755.21,7,5.5,0
2003,4755.23,7,6,0
2003,4755.25,7,6.5,0
2003,4755.27,7,7,0
2003,4755.29,7,7.5,0
2003,4755.31,7,8,1.851478
2003,4755.33,7,8.5,22.231945
2003,4755.35,7,9,77.017982
2003,4755.38,7,9.5,226.10139
2003,4755.4,7,10,430.83267
2003,4755.42,7,10.5,661.08948
2003,4755.44,7,11,803.85681
2003,4755.46,7,11.5,940.12476
2003,4755.48,7,12,967.41785
2003,4755.5,7,12.5,724.08539
2003,4755.52,7,13,625.03534
2003,4755.54,7,13.5,906
2003,4755.56,7,14,818
2003,4755.58,7,14.5,642.29999
2003,4755.6,7,15,451.10001
2003,4755.63,7,15.5,466.89999
2003,4755.65,7,16,221.7
2003,4755.67,7,16.5,199.10001
2003,4755.69,7,17,77
2003,4755.71,7,17.5,0
2003,4755.73,7,18,0
2003,4755.75,7,18.5,0
2003,4755.77,7,19,0
2003,4755.79,7,19.5,0
2003,4755.81,7,20,0
2003,4755.83,7,20.5,0
2003,4755.85,7,21,0
2003,4755.88,7,21.5,0
2003,4755.9,7,22,0
2003,4755.92,7,22.5,0
2003,4755.94,7,23,0
2003,4755.96,7,23.5,0
2003,4755.98,7,24,0
2003,4756,8,0.5,0
2003,4756.02,8,1,0
2003,4756.04,8,1.5,0
2003,4756.06,8,2,0
2003,4756.08,8,2.5,0
2003,4756.1,8,3,0
2003,4756.13,8,3.5,0
2003,4756.15,8,4,0
2003,4756.17,8,4.5,0
2003,4756.19,8,5,0
2003,4756.21,8,5.5,0
2003,4756.23,8,6,0
2003,4756.25,8,6.5,0
2003,4756.27,8,7,0
2003,4756.29,8,7.5,0
2003,4756.31,8,8,35.200001
2003,4756.33,8,8.5,117.7
2003,4756.35,8,9,168.7
2003,4756.38,8,9.5,501.10001
2003,4756.4,8,10,435.10001
2003,4756.42,8,10.5,485.20001
2003,4756.44,8,11,589
2003,4756.46,8,11.5,642.09998
2003,4756.48,8,12,648.20001
2003,4756.5,8,12.5,685
2003,4756.52,8,13,793
2003,4756.54,8,13.5,696.70001
2003,4756.56,8,14,593.5
2003,4756.58,8,14.5,577.90002
2003,4756.6,8,15,576.59998
2003,4756.63,8,15.5,472.5
2003,4756.65,8,16,243.60001
2003,4756.67,8,16.5,190.8
2003,4756.69,8,17,62.32
2003,4756.71,8,17.5,0
2003,4756.73,8,18,0
2003,4756.75,8,18.5,0
2003,4756.77,8,19,0
2003,4756.79,8,19.5,0
2003,4756.81,8,20,0
2003,4756.83,8,20.5,0
2003,4756.85,8,21,0
2003,4756.88,8,21.5,0
2003,4756.9,8,22,0
2003,4756.92,8,22.5,0
2003,4756.94,8,23,0
2003,4756.96,8,23.5,0
2003,4756.98,8,24,0
2003,4757,9,0.5,0
2003,4757.02,9,1,0
2003,4757.04,9,1.5,0
2003,4757.06,9,2,0
2003,4757.08,9,2.5,0
2003,4757.1,9,3,0
2003,4757.13,9,3.5,0
2003,4757.15,9,4,0
2003,4757.17,9,4.5,0
2003,4757.19,9,5,0
2003,4757.21,9,5.5,0
2003,4757.23,9,6,0
2003,4757.25,9,6.5,0
2003,4757.27,9,7,0
2003,4757.29,9,7.5,0
2003,4757.31,9,8,49.32
2003,4757.33,9,8.5,138.39999
2003,4757.35,9,9,313.5
2003,4757.38,9,9.5,478.79999
2003,4757.4,9,10,585.59998
2003,4757.42,9,10.5,713
2003,4757.44,9,11,809
2003,4757.46,9,11.5,883
2003,4757.48,9,12,931
2003,4757.5,9,12.5,954
2003,4757.52,9,13,943
2003,4757.54,9,13.5,911
2003,4757.56,9,14,844
2003,4757.58,9,14.5,761
2003,4757.6,9,15,531.70001
2003,4757.63,9,15.5,592.09998
2003,4757.65,9,16,254.8
2003,4757.67,9,16.5,147.39999
2003,4757.69,9,17,64.669998
2003,4757.71,9,17.5,0
2003,4757.73,9,18,0
2003,4757.75,9,18.5,0
2003,4757.77,9,19,0
2003,4757.79,9,19.5,0
2003,4757.81,9,20,0
2003,4757.83,9,20.5,0
2003,4757.85,9,21,0
2003,4757.88,9,21.5,0
2003,4757.9,9,22,0
2003,4757.92,9,22.5,0
2003,4757.94,9,23,0
2003,4757.96,9,23.5,0
2003,4757.98,9,24,0
2003,4758,10,0.5,0
2003,4758.02,10,1,0
2003,4758.04,10,1.5,0
2003,4758.06,10,2,0
2003,4758.08,10,2.5,0
2003,4758.1,10,3,0
2003,4758.13,10,3.5,0
2003,4758.15,10,4,0
2003,4758.17,10,4.5,0
2003,4758.19,10,5,0
2003,4758.21,10,5.5,0
2003,4758.23,10,6,0
2003,4758.25,10,6.5,0
2003,4758.27,10,7,0
2003,4758.29,10,7.5,0
2003,4758.31,10,8,38.349998
2003,4758.33,10,8.5,131.89999
2003,4758.35,10,9,309.20001
2003,4758.38,10,9.5,451
2003,4758.4,10,10,595.5
2003,4758.42,10,10.5,719
2003,4758.44,10,11,825
2003,4758.46,10,11.5,903
2003,4758.48,10,12,953
2003,4758.5,10,12.5,974
2003,4758.52,10,13,970
2003,4758.54,10,13.5,935
2003,4758.56,10,14,872
2003,4758.58,10,14.5,784
2003,4758.6,10,15,674.59998
2003,4758.63,10,15.5,540.40002
2003,4758.65,10,16,242.89999
2003,4758.67,10,16.5,222.3
2003,4758.69,10,17,86.300003
2003,4758.71,10,17.5,0
2003,4758.73,10,18,0
2003,4758.75,10,18.5,0
2003,4758.77,10,19,0
2003,4758.79,10,19.5,0
2003,4758.81,10,20,0
2003,4758.83,10,20.5,0
2003,4758.85,10,21,0
2003,4758.88,10,21.5,0
2003,4758.9,10,22,0
2003,4758.92,10,22.5,0
2003,4758.94,10,23,0
2003,4758.96,10,23.5,0
2003,4758.98,10,24,0
2003,4759,11,0.5,0
2003,4759.02,11,1,0
2003,4759.04,11,1.5,0
2003,4759.06,11,2,0
