year,JDT,DOY,Time,SM.HW
2003,4752.13,4,330,0.457271717
2003,4752.15,4,400,0.457020589
2003,4752.17,4,430,0.456381163
2003,4752.19,4,500,0.456153647
2003,4752.21,4,530,0.455671483
2003,4752.23,4,600,0.455505806
2003,4752.25,4,630,0.45518007
2003,4752.27,4,700,0.455045285
2003,4752.29,4,730,0.454644832
2003,4752.31,4,800,0.45428316
2003,4752.33,4,830,0.454164358
2003,4752.35,4,900,0.454083731
2003,4752.38,4,930,0.453700767
2003,4752.4,4,1000,0.453639378
2003,4752.42,4,1030,0.453770073
2003,4752.44,4,1100,0.453336215
2003,4752.46,4,1130,0.453237321
2003,4752.48,4,1200,0.453075148
2003,4752.5,4,1230,0.452818488
2003,4752.52,4,1300,0.452424378
2003,4752.54,4,1330,0.452022898
2003,4752.56,4,1400,0.451912324
2003,4752.58,4,1430,0.451109516
2003,4752.6,4,1500,0.450800329
2003,4752.63,4,1530,0.450480258
2003,4752.65,4,1600,0.450709248
2003,4752.67,4,1630,0.449893789
2003,4752.69,4,1700,0.449779615
2003,4752.71,4,1730,0.450106917
2003,4752.73,4,1800,0.450160862
2003,4752.75,4,1830,0.449634845
2003,4752.77,4,1900,0.449373223
2003,4752.79,4,1930,0.449317593
2003,4752.81,4,2000,0.448827502
2003,4752.83,4,2030,0.448771893
2003,4752.85,4,2100,0.448724042
2003,4752.88,4,2130,0.448563293
2003,4752.9,4,2200,0.44830117
2003,4752.92,4,2230,0.448034562
2003,4752.94,4,2300,0.447739034
2003,4752.96,4,2330,0.447700552
2003,4752.98,4,2400,0.447329488
2003,4753,5,30,0.447068578
2003,4753.02,5,100,0.447122438
2003,4753.04,5,130,0.447027361
2003,4753.06,5,200,0.446940805
2003,4753.08,5,230,0.44667113
2003,4753.1,5,300,0.446357597
2003,4753.13,5,330,0.446575393
2003,4753.15,5,400,0.446420245
2003,4753.17,5,430,0.446090197
2003,4753.19,5,500,0.446034648
2003,4753.21,5,530,0.445886449
2003,4753.23,5,600,0.445660387
2003,4753.25,5,630,0.445405064
2003,4753.27,5,700,0.445256083
2003,4753.29,5,730,0.444992699
2003,4753.31,5,800,0.444937209
2003,4753.33,5,830,0.444881744
2003,4753.35,5,900,0.44484276
2003,4753.38,5,930,0.444568839
2003,4753.4,5,1000,0.444475421
2003,4753.42,5,1030,0.444529221
2003,4753.44,5,1100,0.444583043
2003,4753.46,5,1130,0.444713986
2003,4753.48,5,1200,0.444499856
2003,4753.5,5,1230,0.444444338
2003,4753.52,5,1300,0.444388845
2003,4753.54,5,1330,0.444037105
2003,4753.56,5,1400,0.444151215
2003,4753.58,5,1430,0.444150366
2003,4753.6,5,1500,0.444204158
2003,4753.63,5,1530,0.443862903
2003,4753.65,5,1600,0.443692482
2003,4753.67,5,1630,0.443800892
2003,4753.69,5,1700,0.443444504
2003,4753.71,5,1730,0.443389093
2003,4753.73,5,1800,0.443261078
2003,4753.75,5,1830,0.443309536
2003,4753.77,5,1900,0.442826835
2003,4753.79,5,1930,0.443105363
2003,4753.81,5,2000,0.442953542
2003,4753.83,5,2030,0.442733618
2003,4753.85,5,2100,0.442787492
2003,4753.88,5,2130,0.442896177
2003,4753.9,5,2200,0.442945939
2003,4753.92,5,2230,0.442945088
2003,4753.94,5,2300,0.44271138
2003,4753.96,5,2330,0.442930849
2003,4753.98,5,2400,0.442816286
2003,4754,6,30,0.442815435
2003,4754.02,6,100,0.442814583
2003,4754.04,6,130,0.442958784
2003,4754.06,6,200,0.442818663
2003,4754.08,6,230,0.442670894
2003,4754.1,6,300,0.442725347
2003,4754.13,6,330,0.442724493
2003,4754.15,6,400,0.44272364
2003,4754.17,6,430,0.442722787
2003,4754.19,6,500,0.442630808
2003,4754.21,6,530,0.442629953
2003,4754.23,6,600,0.442515599
2003,4754.25,6,630,0.442411753
2003,4754.27,6,700,0.442153898
2003,4754.29,6,730,0.442062099
2003,4754.31,6,800,0.442061245
2003,4754.33,6,830,0.441947094
2003,4754.35,6,900,0.441946239
2003,4754.38,6,930,0.441931589
2003,4754.4,6,1000,0.441930733
2003,4754.42,6,1030,0.441985223
2003,4754.44,6,1100,0.44215304
2003,4754.46,6,1130,0.441993987
2003,4754.48,6,1200,0.442106633
2003,4754.5,6,1230,0.441758594
2003,4754.52,6,1300,0.441757741
2003,4754.54,6,1330,0.441643385
2003,4754.56,6,1400,0.441565553
2003,4754.58,6,1430,0.441564703
2003,4754.6,6,1500,0.441508507
2003,4754.63,6,1530,0.441417753
2003,4754.65,6,1600,0.441075182
2003,4754.67,6,1630,0.441019023
2003,4754.69,6,1700,0.441018168
2003,4754.71,6,1730,0.440904224
2003,4754.73,6,1800,0.440812955
2003,4754.75,6,1830,0.440812103
2003,4754.77,6,1900,0.440698362
2003,4754.79,6,1930,0.440697507
2003,4754.81,6,2000,0.440337993
2003,4754.83,6,2030,0.440224453
2003,4754.85,6,2100,0.440223598
2003,4754.88,6,2130,0.440222742
2003,4754.9,6,2200,0.440019171
2003,4754.92,6,2230,0.440018315
2003,4754.94,6,2300,0.440017459
2003,4754.96,6,2330,0.439904328
2003,4754.98,6,2400,0.439926919
2003,4755,7,30,0.439926065
2003,4755.02,7,100,0.439669441
2003,4755.04,7,130,0.439556506
2003,4755.06,7,200,0.439542583
2003,4755.08,7,230,0.439631635
2003,4755.1,7,300,0.439400253
2003,4755.13,7,330,0.439297245
2003,4755.15,7,400,0.43918451
2003,4755.17,7,430,0.439183656
2003,4755.19,7,500,0.439182798
2003,4755.21,7,530,0.439181942
2003,4755.23,7,600,0.43892573
2003,4755.25,7,630,0.43901496
2003,4755.27,7,700,0.438902423
2003,4755.29,7,730,0.438811683
2003,4755.31,7,800,0.438810828
2003,4755.33,7,830,0.438809968
2003,4755.35,7,900,0.43880911
2003,4755.38,7,930,0.438706274
2003,4755.4,7,1000,0.438831423
2003,4755.42,7,1030,0.438885861
2003,4755.44,7,1100,0.438885567
2003,4755.46,7,1130,0.43874144
2003,4755.48,7,1200,0.438817281
2003,4755.5,7,1230,0.438928298
2003,4755.52,7,1300,0.438748921
2003,4755.54,7,1330,0.438748061
2003,4755.56,7,1400,0.438747203
2003,4755.58,7,1430,0.438634473
2003,4755.6,7,1500,0.438633613
2003,4755.63,7,1530,0.438744628
2003,4755.65,7,1600,0.438505895
2003,4755.67,7,1630,0.438359466
2003,4755.69,7,1700,0.438246935
2003,4755.71,7,1730,0.438114261
2003,4755.73,7,1800,0.438113402
2003,4755.75,7,1830,0.438001067
2003,4755.77,7,1900,0.437600906
2003,4755.79,7,1930,0.437488769
2003,4755.81,7,2000,0.43748791
2003,4755.83,7,2030,0.437542275
2003,4755.85,7,2100,0.437439766
2003,4755.88,7,2130,0.437438907
2003,4755.9,7,2200,0.437361638
2003,4755.92,7,2230,0.437360776
2003,4755.94,7,2300,0.437359918
2003,4755.96,7,2330,0.437359057
2003,4755.98,7,2400,0.437358199
2003,4756,8,30,0.437357339
